__run_id,__done,adaptation_mode,avg_packet_loss,total_energy_consumption_mJ
run_0_repetition_0,DONE,provoost,0.14916936673901418,7256.935931528007
run_0_repetition_1,DONE,provoost,0.15260356032798722,7479.797633738429
run_0_repetition_2,DONE,provoost,0.15072333111319838,7078.353204257438
run_0_repetition_3,DONE,provoost,0.1519594600215262,7410.731415178968
run_0_repetition_4,DONE,provoost,0.1537997738373761,7839.349817270442
run_0_repetition_5,DONE,provoost,0.1501255323294945,6918.432864082354
run_0_repetition_6,DONE,provoost,0.15324809427586708,7303.175537725867
run_0_repetition_7,DONE,provoost,0.14989552835676834,6989.569769654389
run_0_repetition_8,DONE,provoost,0.14768539572963651,6689.148630635065
run_0_repetition_9,DONE,provoost,0.15013692208112844,7312.818410274121
run_0_repetition_10,DONE,provoost,0.1487058993008575,7087.996076805692
run_0_repetition_11,DONE,provoost,0.15126440949606065,7421.711560984208
run_0_repetition_12,DONE,provoost,0.15174959769273727,7545.212929278229
run_0_repetition_13,DONE,provoost,0.15073294573195975,7473.78283296887
run_0_repetition_14,DONE,provoost,0.1491222966578195,6821.679370665954
run_0_repetition_15,DONE,provoost,0.14958464266349825,7117.2407364287465
run_0_repetition_16,DONE,provoost,0.1513256107897927,7157.575597611609
run_0_repetition_17,DONE,provoost,0.15245215100074191,7340.6157408856225
run_0_repetition_18,DONE,provoost,0.14866219955368215,7300.6787529804305
run_0_repetition_19,DONE,provoost,0.1520548727553879,7643.0158784285095
run_0_repetition_20,DONE,provoost,0.15288304141293094,7844.828464552576
run_0_repetition_21,DONE,provoost,0.14974857768927863,6666.326502248877
run_0_repetition_22,DONE,provoost,0.15263712967272308,7509.555595607941
run_0_repetition_23,DONE,provoost,0.15217040840254664,7042.9836881102565
run_0_repetition_24,DONE,provoost,0.15100043707995792,7320.390595809799
run_0_repetition_25,DONE,provoost,0.15098382440268562,7635.040446400941
run_0_repetition_26,DONE,provoost,0.15075302229797596,7396.411015118141
run_0_repetition_27,DONE,provoost,0.15157349165564873,7451.066276361828
run_0_repetition_28,DONE,provoost,0.15179328894317246,7515.16714988561
run_0_repetition_29,DONE,provoost,0.15195193611191965,7663.235650290112
